Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total,status
TOWNSVILLE,MAR,61069,61364.8,980.4,918.2,122433.8,1898.6,124332.4,pre
TOWNSVILLE,MAY,64209.2,64105.8,780.4,917.4,128315,1697.8,130012.8,pre
TOWNSVILLE,NOV,61748.8,63880.6,698.6,878.2,125629.4,1576.8,127206.2,pre
TOWNSVILLE,OCT,69166.8,69054.4,1229.2,1132.4,138221.2,2361.6,140582.8,pre
TOWNSVILLE,SEP,68263,70181,1105.8,1226.4,138444,2332.2,140776.2,pre
ADELAIDE,JAN,294269,298774,63966,53541,593043,117507,710550,post
ADELAIDE,FEB,275909,266178,41150,30615,542087,71765,613852,post
ADELAIDE,MAR,192633,193960,23735,18459,386593,42194,428787,post
ADELAIDE,APR,5462,6383,0,0,11845,0,11845,post
ADELAIDE,MAY,7273,8466,0,0,15739,0,15739,post
ADELAIDE,JUN,12264,12993,26,51,25257,77,25334,post
ADELAIDE,JUL,25774,27491,350,313,53265,663,53928,post
ADELAIDE,AUG,36135,38427,754,661,74562,1415,75977,post
ALICE SPRINGS,JAN,16932,13908,0,0,30840,0,30840,post
ALICE SPRINGS,FEB,14658,13992,0,0,28650,0,28650,post
ALICE SPRINGS,MAR,12606,11508,0,0,24114,0,24114,post
ALICE SPRINGS,APR,1481,1537,0,0,3018,0,3018,post
ALICE SPRINGS,MAY,1623,1725,0,0,3348,0,3348,post
ALICE SPRINGS,JUN,2939,3052,0,0,5991,0,5991,post
ALICE SPRINGS,JUL,5697,5819,0,0,11516,0,11516,post
ALICE SPRINGS,AUG,8541,8448,0,0,16989,0,16989,post
AYERS ROCK,JAN,14817,15125,0,0,29942,0,29942,post
AYERS ROCK,FEB,13069,13499,0,0,26568,0,26568,post
AYERS ROCK,MAR,9540,11619,0,0,21159,0,21159,post
AYERS ROCK,APR,0,0,0,0,0,0,0,post
AYERS ROCK,MAY,0,0,0,0,0,0,0,post
AYERS ROCK,JUN,0,0,0,0,0,0,0,post
AYERS ROCK,JUL,0,0,0,0,0,0,0,post
AYERS ROCK,AUG,0,0,0,0,0,0,0,post
BALLINA,JAN,27390,30186,0,0,57576,0,57576,post
BALLINA,FEB,20690,20309,0,0,40999,0,40999,post
BALLINA,MAR,13835,14568,0,0,28403,0,28403,post
BALLINA,APR,195,182,0,0,377,0,377,post
BALLINA,MAY,1257,1272,0,0,2529,0,2529,post
BALLINA,JUN,4322,3587,0,0,7909,0,7909,post
BALLINA,JUL,15858,15370,0,0,31228,0,31228,post
BALLINA,AUG,13248,13906,0,0,27154,0,27154,post
BRISBANE,JAN,707885,734476,333471,283668,1442361,617139,2059500,post
BRISBANE,FEB,606981,612685,223875,197282,1219666,421157,1640823,post
BRISBANE,MAR,445000,440149,138690,125177,885149,263867,1149016,post
BRISBANE,APR,26799,28101,2379,6582,54900,8961,63861,post
BRISBANE,MAY,32659,32637,1809,2679,65296,4488,69784,post
BRISBANE,JUN,71393,76000,4496,5537,147393,10033,157426,post
BRISBANE,JUL,178059,169412,3985,7081,347471,11066,358537,post
BRISBANE,AUG,139600,144750,2853,8057,284350,10910,295260,post
CAIRNS,JAN,167386,180829,28638,24465,348215,53103,401318,post
CAIRNS,FEB,112318,121118,24070,19120,233436,43190,276626,post
CAIRNS,MAR,87371,93860,10976,10079,181231,21055,202286,post
CAIRNS,APR,3459,3967,30,24,7426,54,7480,post
CAIRNS,MAY,4457,4324,37,55,8781,92,8873,post
CAIRNS,JUN,13751,12639,102,144,26390,246,26636,post
CAIRNS,JUL,54621,49769,53,72,104390,125,104515,post
CAIRNS,AUG,47105,50717,79,58,97822,137,97959,post
CANBERRA,JAN,107782,97761,2617,3087,205543,5704,211247,post
CANBERRA,FEB,121940,117645,2265,2279,239585,4544,244129,post
CANBERRA,MAR,77060,74706,1471,1174,151766,2645,154411,post
CANBERRA,APR,2044,2334,0,0,4378,0,4378,post
CANBERRA,MAY,2891,2827,0,0,5718,0,5718,post
CANBERRA,JUN,6861,6484,0,0,13345,0,13345,post
CANBERRA,JUL,10723,11907,0,0,22630,0,22630,post
CANBERRA,AUG,7072,6437,0,0,13509,0,13509,post
DARWIN,JAN,64657,56560,15026,10712,121217,25738,146955,post
DARWIN,FEB,48141,50081,8685,5674,98222,14359,112581,post
DARWIN,MAR,41355,39999,4342,2910,81354,7252,88606,post
DARWIN,APR,3401,3309,0,0,6710,0,6710,post
DARWIN,MAY,3014,2736,0,0,5750,0,5750,post
DARWIN,JUN,6728,6568,0,0,13296,0,13296,post
DARWIN,JUL,14237,12332,0,0,26569,0,26569,post
DARWIN,AUG,19355,19061,0,0,38416,0,38416,post
GOLD COAST,JAN,262457,276137,52235,47115,538594,99350,637944,post
GOLD COAST,FEB,185735,189523,36789,32871,375258,69660,444918,post
GOLD COAST,MAR,127307,137163,20412,18038,264470,38450,302920,post
GOLD COAST,APR,596,922,0,0,1518,0,1518,post
GOLD COAST,MAY,1025,1272,0,0,2297,0,2297,post
GOLD COAST,JUN,2252,2837,0,0,5089,0,5089,post
GOLD COAST,JUL,21997,19649,0,0,41646,0,41646,post
GOLD COAST,AUG,4075,5636,0,0,9711,0,9711,post
